row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,4.mzML Peak area,6.mzML Peak area,1.mzML Peak area,2.mzML Peak area,10.mzML Peak area,12.mzML Peak area,9.mzML Peak area,3.mzML Peak area,11.mzML Peak area,8.mzML Peak area,7.mzML Peak area,5.mzML Peak area,30.mzML Peak area,21.mzML Peak area,28.mzML Peak area,20.mzML Peak area,19.mzML Peak area,36.mzML Peak area,13.mzML Peak area,18.mzML Peak area,24.mzML Peak area,15.mzML Peak area,14.mzML Peak area,35.mzML Peak area,38.mzML Peak area,40.mzML Peak area,41.mzML Peak area,22.mzML Peak area,29.mzML Peak area,32.mzML Peak area,34.mzML Peak area,33.mzML Peak area,16.mzML Peak area,23.mzML Peak area,17.mzML Peak area,47.mzML Peak area,37.mzML Peak area,A20.mzML Peak area,42.mzML Peak area,A10.mzML Peak area,39.mzML Peak area,52.mzML Peak area,44.mzML Peak area,31.mzML Peak area,27.mzML Peak area,48.mzML Peak area,26.mzML Peak area,25.mzML Peak area,Blank_2.mzML Peak area,Blank_6.mzML Peak area,Blank_5.mzML Peak area,A12.mzML Peak area,A22.mzML Peak area,B12.mzML Peak area,54.mzML Peak area,A11.mzML Peak area,46.mzML Peak area,45.mzML Peak area,43.mzML Peak area,49.mzML Peak area,Blank_3.mzML Peak area,Blank_1.mzML Peak area,Blank_4.mzML Peak area,SixMix_3.mzML Peak area,SixMix_4.mzML Peak area,B22.mzML Peak area,B20.mzML Peak area,A21.mzML Peak area,51.mzML Peak area,B11.mzML Peak area,53.mzML Peak area,50.mzML Peak area,SixMix_1.mzML Peak area,SixMix_2.mzML Peak area,SixMix_0.mzML Peak area,SixMix_7.mzML Peak area,B10.mzML Peak area,A31.mzML Peak area,A32.mzML Peak area,B32.mzML Peak area,C11.mzML Peak area,B21.mzML Peak area,C10.mzML Peak area,SixMix_8.mzML Peak area,B31.mzML Peak area,SixMix_5.mzML Peak area,C30.mzML Peak area,B30.mzML Peak area,SixMix_9.mzML Peak area,SixMix_6.mzML Peak area,C22.mzML Peak area,C32.mzML Peak area,C12.mzML Peak area,C20.mzML Peak area,A30.mzML Peak area,C21.mzML Peak area,PoolQC_5.mzML Peak area,C31.mzML Peak area,PoolQC_2.mzML Peak area,PoolQC_6.mzML Peak area,PoolQC_12.mzML Peak area,PoolQC_11.mzML Peak area,PoolQC_8.mzML Peak area,PoolQC_1.mzML Peak area,PoolQC_10.mzML Peak area,PoolQC_3.mzML Peak area,PoolQC_4.mzML Peak area,PoolQC_7.mzML Peak area,PoolQC_9.mzML Peak area,
1753,540.3297543805431,2.8317454,,,,132,,,,,,,63282.074,10983.233,0,0,0,0,822319.44,0,0,456333.44,510602.4,15032.288,11575.656,0,10288.692,0,0,678275.5,50329.324,670451.3,62485.027,32326.879,92728.97,1080629.2,10700.165,35344.38,89381.36,137657.5,906.11,16793.06,526872.5,20793.508,386860.2,35732.16,808583.3,2128343.2,2933.9783,0,97317.664,489.55652,734.18396,0,798875.9,74991.28,712274.44,552947.4,1077125.2,1793300.0,0,0,0,669.48175,558.75946,22452.273,0,0,1008417.8,1134088.5,393823.84,12223.195,0,0,0,0,0,83894.61,29900.527,0,131965.31,73745.73,0,23654.395,0,0,0,0,28445.338,1084.9637,1091.254,184044.19,325075.5,140880.48,273219.47,0,102379.984,0,753445.9,120384.35,0,0,1403000.9,609639.44,763691.2,963790.9,0,1179048.5,1465498.4,1487646.4,1597417.0,1623795.0,516042.6,624541.56,905316.56,1775729.5,609096.06,1554286.4,1872749.2,1216739.9,587510.75,
6998,540.3653648292055,6.154571,,,,,,,,,,,0,0,20052.654,45060.7,13329.596,18108.357,0,0,0,0,0,1005.95496,0,0,0,0,2334.1372,0,0,0,1076.6879,0,0,0,0,0,0,0,9402.737,10565.884,0,721.65063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874.7954,1367.5972,23349.45,0,0,0,267.30127,0,0,0,0,0,0,1524.6204,24924.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3302.4763,0,0,584.3013,0,0,23381.232,1785.0177,1513.595,0,2949.2053,0,0,0,2937.8105,
5347,540.3670727097993,5.0397825,,,,,,,,,,,2198.591,2627.5396,0,0,0,0,0,0,0,0,0,4747.8154,0,0,0,0,0,0,10642.297,0,12959.083,11897.558,4831.8286,0,0,17818.7,14603.078,16018.327,0,12574.015,0,8103.079,0,23685.467,0,0,0,0,16761.875,0,0,0,0,18887.143,0,0,0,0,0,0,0,0,0,16915.35,0,0,0,0,0,7479.588,0,0,0,0,0,39267.105,16058.144,0,17678.416,6974.5557,0,12541.329,0,0,0,0,5332.283,0,0,35229.73,0,29131.438,0,0,31287.688,0,0,39617.027,0,0,0,0,0,0,0,0,2870.2612,0,6482.5146,1605.5681,2114.3403,4091.8306,1509.1444,5074.852,7798.531,6804.406,6543.2246,5428.118,5640.4927,
4104,540.3738514829404,4.0994105,,,,,,,,,,,1296.8658,3219.2727,2932.53,7844.105,5472.0435,7343.7334,5167.0024,3882.7002,5220.6035,7868.1094,3991.818,7889.044,0,4124.484,0,2234.677,3871.9868,2246.4097,684.2147,1834.2565,2335.5364,3638.9192,612.14124,940.90125,357.70502,0,0,0,2252.9065,8031.0195,806.80505,3629.7117,6029.9746,3528.5635,4035.2505,0,0,0,0,0,409.01678,528.0346,0,2183.919,5380.3735,0,3439.583,1119.5316,0,0,0,0,0,0,1283.5574,0,0,0,0,462.22522,0,0,0,0,0,0,0,0,0,0,221.92418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399.4811,0,2836.8203,1075.2975,15259.674,5475.337,4691.0264,10637.762,12347.45,1459.4299,3039.4502,9658.017,14837.384,
5235,540.389546208411,4.9937387,,,,,,,,,,,0,0,25482.666,23098.0,50415.223,44912.477,0,37985.395,57990.89,0,0,0,5053.394,56778.19,3590.9275,57756.016,70629.97,0,0,0,0,0,0,0,775.859,0,0,0,13460.211,0,0,0,0,0,0,0,794.37354,11180.498,0,6808.86,2052.9546,3448.0874,0,0,469.36444,0,345.90826,0,0,0,0,5177.0107,10798.75,0,12162.268,9535.609,0,0,1128.8278,0,0,0,0,0,0,0,0,8882.086,0,0,3081.9067,0,0,0,0,0,0,15083.561,18948.67,0,0,0,0,0,0,0,807.401,0,0,0,365.26523,4865.2437,0,376.12582,13965.184,292.9455,1578.3481,1818.7659,1800.414,1316.8583,5649.161,1211.096,1617.2056,10783.639,821.1483,3433.3418,3558.8965,6275.2725,2167.867,
8729,540.409837198337,7.0700502,,,,135,,,,,,,0,23879.281,31507.246,56056.656,18012.785,66048.89,1728.3801,2668.419,0,16314.969,11774.581,44703.215,0,0,0,8782.75,1904.7427,24978.387,4532.551,22824.398,8301.995,60065.32,8891.621,18529.525,27132.207,9415.153,3276.0825,1917.1812,38849.96,46005.73,6305.0405,15802.943,22582.691,54105.766,8837.068,657.33484,0,0,1024.2197,0,46025.805,8742.204,4724.801,2731.5066,2896.916,8517.651,11399.25,1762.1558,0,0,0,0,0,0,38816.25,0,3255.5156,2960.997,28580.713,25098.705,0,0,0,0,0,0,0,0,590.072,0,1078.876,34128.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864.2148,70466.56,11488.507,65153.938,0,21297.832,0,0,1940.0309,39690.06,
7655,540.4461800517722,6.497584,,,,564,,,,,,,86662.61,28493.07,7949.5776,5332.3438,4305.189,10245.879,35926.582,43583.535,60845.348,27166.047,12496.082,26015.207,30560.793,18904.375,37012.805,20181.7,6065.4927,9130.105,73843.78,6275.0127,22059.64,19516.762,53702.605,15313.661,20988.38,27144.68,45832.426,60441.414,2937.6797,10705.207,16869.23,17646.21,13086.78,31125.695,8430.969,32351.508,61433.105,0,36759.44,0,11418.639,33277.625,23243.389,36888.227,29625.39,14853.238,30972.223,34914.65,2625.1873,0,369.18884,0,0,0,2196.6025,0,24174.059,13448.535,4613.407,17759.287,4395.648,4458.2476,337.1254,2662.4941,2383.49,3300.297,0,0,49455.87,1388.4573,63527.094,14783.6045,4559.871,2254.8809,6787.5005,909.9457,0,0,0,1076.596,492.4184,392.26096,0,173.86125,0,1208.6848,0,0,411.33228,163.60141,866.53467,233.456,1526.3456,1732.9854,0,1862.264,44357.812,2572.3765,75455.97,60204.93,4440.092,30155.002,38114.773,64507.59,22821.195,74838.37,64344.695,57940.758,23216.945,
6606,540.4467132159876,5.856054,,,,,,,,,,,75250.34,131001.75,175572.16,163472.81,165474.36,159118.8,57754.367,126609.766,83155.234,116349.375,80841.82,166504.38,16690.992,126621.195,23010.66,96172.46,114581.72,65222.004,79471.37,53490.746,131541.84,124105.27,145752.16,96922.68,78870.07,46299.438,26554.436,125490.64,82713.01,172279.42,49853.92,86567.94,119099.19,146569.44,119933.75,22793.883,35508.133,0,15789.385,0,47834.504,42810.613,45573.64,49640.625,66051.266,51218.875,89939.2,31770.29,6707.33,14195.861,11084.549,0,0,3358.4355,81812.28,2867.4692,20293.836,21924.395,75588.53,67435.88,1255.0629,482.98798,9311.326,3286.4512,4033.4866,29550.146,2853.8713,0,15397.791,13621.421,36663.164,104233.57,613.9347,1371.135,7325.0713,11832.682,4613.121,0,0,0,2725.6436,0,5074.965,12123.148,0,4524.852,0,0,9754.545,9060.87,0,0,0,0,0,0,69039.55,0,72105.086,116110.195,225877.16,273338.34,171937.02,135118.67,253171.81,104129.7,61128.383,103944.07,223077.56,
9985,540.4690783072632,7.7156143,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34209.977,0,0,1376.6964,0,0,0,0,635.51385,0,0,1582.0011,0,0,0,0,11456.613,0,7657.966,0,0,0,227.35846,0,0,0,0,0,0,10111.5205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3611.2766,0,0,0,0,10063.127,0,0,0,0,0,0,0,0,0,0,0,1287.952,0,0,0,0,0,0,0,673.8262,0,0,0,0,0,0,643.2533,0,0,63567.895,0,0,0,0,0,0,0,0,0,0,0,
10309,540.4691067722755,7.877685,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28340.602,0,0,2072.1514,0,0,0,0,512.1501,0,0,436.99774,0,0,0,0,5170.1704,0,1185.4282,0,0,0,453.43164,544.506,0,0,0,0,0,26867.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3838.3462,0,0,0,0,1579.8357,220.80475,222.20312,0,0,0,0,0,0,0,0,0,4239.6396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3565.733,0,0,0,0,0,0,0,0,0,0,0,
